label,points,ratio
1,"[((51, 70), (65, 62)), ((65, 62), (78, 55)), ((78, 55), (92, 56)), ((92, 56), (106, 56)), ((51, 70), (95, 69)), ((95, 69), (109, 76)), ((109, 76), (115, 80)), ((115, 80), (119, 86)), ((51, 70), (92, 80)), ((92, 80), (109, 90)), ((109, 90), (119, 96)), ((119, 96), (126, 100)), ((51, 70), (85, 90)), ((85, 90), (102, 100)), ((102, 100), (109, 104)), ((109, 104), (119, 107)), ((51, 70), (79, 97)), ((79, 97), (92, 104)), ((92, 104), (96, 107)), ((96, 107), (105, 110))]","(4, 47, 128, 66)"
2,"[((39, 74), (56, 66)), ((56, 66), (70, 57)), ((70, 57), (84, 57)), ((84, 57), (100, 60)), ((39, 74), (83, 71)), ((83, 71), (100, 81)), ((100, 81), (107, 84)), ((107, 84), (110, 88)), ((39, 74), (80, 84)), ((80, 84), (97, 94)), ((97, 94), (108, 98)), ((108, 98), (117, 105)), ((39, 74), (73, 91)), ((73, 91), (90, 102)), ((90, 102), (100, 108)), ((100, 108), (107, 112)), ((39, 74), (69, 101)), ((69, 101), (80, 108)), ((80, 108), (87, 112)), ((87, 112), (97, 115))]","(3, 50, 118, 66)"
3,"[((42, 74), (56, 64)), ((56, 64), (73, 57)), ((73, 57), (86, 57)), ((86, 57), (100, 60)), ((42, 74), (83, 71)), ((83, 71), (100, 81)), ((100, 81), (107, 84)), ((107, 84), (110, 91)), ((42, 74), (80, 84)), ((80, 84), (97, 92)), ((97, 92), (108, 98)), ((108, 98), (117, 105)), ((42, 74), (73, 92)), ((73, 92), (90, 102)), ((90, 102), (100, 108)), ((100, 108), (107, 112)), ((42, 74), (69, 101)), ((69, 101), (80, 108)), ((80, 108), (87, 112)), ((87, 112), (97, 115))]","(3, 50, 118, 66)"
4,"[((49, 73), (65, 63)), ((65, 63), (76, 56)), ((76, 56), (93, 56)), ((93, 56), (106, 57)), ((49, 73), (89, 70)), ((89, 70), (106, 80)), ((106, 80), (113, 84)), ((113, 84), (117, 87)), ((49, 73), (86, 83)), ((86, 83), (106, 91)), ((106, 91), (116, 98)), ((116, 98), (123, 104)), ((49, 73), (82, 91)), ((82, 91), (96, 101)), ((96, 101), (106, 107)), ((106, 107), (113, 111)), ((49, 73), (76, 100)), ((76, 100), (86, 105)), ((86, 105), (93, 111)), ((93, 111), (100, 111))]","(3, 47, 124, 68)"
5,"[((45, 69), (61, 58)), ((61, 58), (78, 52)), ((78, 52), (91, 55)), ((91, 55), (101, 55)), ((45, 69), (88, 69)), ((88, 69), (104, 76)), ((104, 76), (111, 82)), ((111, 82), (111, 86)), ((45, 69), (84, 79)), ((84, 79), (101, 89)), ((101, 89), (111, 95)), ((111, 95), (118, 102)), ((45, 69), (78, 89)), ((78, 89), (88, 99)), ((88, 99), (101, 102)), ((101, 102), (108, 106)), ((45, 69), (71, 96)), ((71, 96), (81, 102)), ((81, 102), (88, 106)), ((88, 106), (95, 109))]","(3, 46, 122, 66)"
6,"[((48, 69), (62, 58)), ((62, 58), (79, 52)), ((79, 52), (92, 55)), ((92, 55), (105, 55)), ((48, 69), (89, 69)), ((89, 69), (105, 76)), ((105, 76), (112, 82)), ((112, 82), (112, 85)), ((48, 69), (85, 79)), ((85, 79), (104, 89)), ((104, 89), (112, 95)), ((112, 95), (122, 99)), ((48, 69), (79, 89)), ((79, 89), (91, 99)), ((91, 99), (102, 103)), ((102, 103), (112, 106)), ((48, 69), (74, 96)), ((74, 96), (82, 102)), ((82, 102), (89, 106)), ((89, 106), (98, 109))]","(3, 46, 123, 66)"
7,"[((48, 69), (62, 58)), ((62, 58), (79, 52)), ((79, 52), (95, 55)), ((95, 55), (105, 55)), ((48, 69), (91, 69)), ((91, 69), (105, 78)), ((105, 78), (115, 82)), ((115, 82), (118, 86)), ((48, 69), (88, 79)), ((88, 79), (105, 89)), ((105, 89), (115, 95)), ((115, 95), (122, 99)), ((48, 69), (81, 89)), ((81, 89), (94, 99)), ((94, 99), (105, 103)), ((105, 103), (112, 106)), ((48, 69), (75, 95)), ((75, 95), (85, 102)), ((85, 102), (92, 106)), ((92, 106), (99, 109))]","(3, 46, 123, 66)"
8,"[((48, 69), (65, 62)), ((65, 62), (81, 55)), ((81, 55), (95, 55)), ((95, 55), (105, 55)), ((48, 69), (92, 69)), ((92, 69), (109, 79)), ((109, 79), (115, 82)), ((115, 82), (115, 85)), ((48, 69), (88, 79)), ((88, 79), (105, 89)), ((105, 89), (115, 96)), ((115, 96), (125, 99)), ((48, 69), (82, 89)), ((82, 89), (95, 99)), ((95, 99), (105, 103)), ((105, 103), (115, 106)), ((48, 69), (75, 95)), ((75, 95), (85, 102)), ((85, 102), (92, 106)), ((92, 106), (101, 109))]","(3, 47, 124, 66)"
9,"[((48, 68), (64, 58)), ((64, 58), (81, 51)), ((81, 51), (94, 54)), ((94, 54), (101, 54)), ((48, 68), (91, 68)), ((91, 68), (108, 78)), ((108, 78), (111, 81)), ((111, 81), (114, 84)), ((48, 68), (88, 81)), ((88, 81), (104, 88)), ((104, 88), (114, 94)), ((114, 94), (121, 101)), ((48, 68), (81, 88)), ((81, 88), (94, 98)), ((94, 98), (104, 101)), ((104, 101), (111, 105)), ((48, 68), (74, 94)), ((74, 94), (84, 101)), ((84, 101), (91, 105)), ((91, 105), (98, 108))]","(3, 45, 121, 66)"
10,"[((47, 68), (61, 61)), ((61, 61), (77, 52)), ((77, 52), (91, 55)), ((91, 55), (101, 55)), ((47, 68), (91, 68)), ((91, 68), (104, 75)), ((104, 75), (111, 82)), ((111, 82), (111, 85)), ((47, 68), (85, 79)), ((85, 79), (101, 89)), ((101, 89), (111, 95)), ((111, 95), (121, 99)), ((47, 68), (78, 88)), ((78, 88), (91, 98)), ((91, 98), (101, 102)), ((101, 102), (108, 105)), ((47, 68), (71, 95)), ((71, 95), (81, 102)), ((81, 102), (88, 105)), ((88, 105), (95, 108))]","(3, 45, 121, 66)"
11,"[((61, 113), (65, 97)), ((65, 97), (69, 82)), ((69, 82), (84, 70)), ((84, 70), (91, 59)), ((61, 113), (91, 85)), ((91, 85), (110, 78)), ((110, 78), (118, 78)), ((118, 78), (129, 81)), ((61, 113), (95, 94)), ((95, 94), (114, 90)), ((114, 90), (129, 89)), ((129, 89), (137, 89)), ((61, 113), (95, 105)), ((95, 105), (114, 105)), ((114, 105), (126, 104)), ((126, 104), (136, 101)), ((61, 113), (95, 116)), ((95, 116), (113, 120)), ((113, 120), (121, 120)), ((121, 120), (129, 120))]","(25, 17, 117, 118)"
12,"[((59, 114), (63, 98)), ((63, 98), (71, 83)), ((71, 83), (82, 71)), ((82, 71), (87, 63)), ((59, 114), (90, 86)), ((90, 86), (106, 79)), ((106, 79), (117, 79)), ((117, 79), (129, 79)), ((59, 114), (94, 94)), ((94, 94), (113, 90)), ((113, 90), (128, 90)), ((128, 90), (137, 90)), ((59, 114), (97, 106)), ((97, 106), (117, 106)), ((117, 106), (129, 102)), ((129, 102), (137, 102)), ((59, 114), (98, 117)), ((98, 117), (113, 118)), ((113, 118), (121, 121)), ((121, 121), (129, 121))]","(25, 20, 115, 116)"
13,"[((63, 115), (68, 99)), ((68, 99), (72, 84)), ((72, 84), (87, 72)), ((87, 72), (91, 60)), ((63, 115), (95, 87)), ((95, 87), (111, 83)), ((111, 83), (122, 80)), ((122, 80), (131, 80)), ((63, 115), (99, 96)), ((99, 96), (118, 95)), ((118, 95), (130, 92)), ((130, 92), (139, 91)), ((63, 115), (99, 107)), ((99, 107), (119, 107)), ((119, 107), (130, 107)), ((130, 107), (138, 103)), ((63, 115), (99, 119)), ((99, 119), (115, 119)), ((115, 119), (123, 123)), ((123, 123), (134, 123))]","(27, 16, 115, 120)"
14,"[((52, 87), (63, 73)), ((63, 73), (76, 60)), ((76, 60), (89, 53)), ((89, 53), (96, 43)), ((52, 87), (96, 73)), ((96, 73), (116, 73)), ((116, 73), (120, 76)), ((120, 76), (123, 80)), ((52, 87), (96, 84)), ((96, 84), (113, 87)), ((113, 87), (119, 91)), ((119, 91), (120, 91)), ((52, 87), (93, 94)), ((93, 94), (106, 101)), ((106, 101), (109, 101)), ((109, 101), (106, 98)), ((52, 87), (89, 105)), ((89, 105), (96, 108)), ((96, 108), (93, 107)), ((93, 107), (90, 104))]","(9, 35, 120, 78)"
15,"[((60, 88), (67, 75)), ((67, 75), (78, 61)), ((78, 61), (91, 54)), ((91, 54), (98, 44)), ((60, 88), (102, 75)), ((102, 75), (119, 74)), ((119, 74), (126, 75)), ((126, 75), (126, 78)), ((60, 88), (101, 86)), ((101, 86), (115, 89)), ((115, 89), (122, 95)), ((122, 95), (123, 96)), ((60, 88), (95, 96)), ((95, 96), (108, 103)), ((108, 103), (109, 103)), ((109, 103), (109, 103)), ((60, 88), (91, 106)), ((91, 106), (95, 110)), ((95, 110), (95, 106)), ((95, 106), (92, 103))]","(13, 39, 122, 76)"
16,"[((50, 94), (58, 83)), ((58, 83), (71, 69)), ((71, 69), (85, 62)), ((85, 62), (92, 51)), ((50, 94), (96, 83)), ((96, 83), (114, 83)), ((114, 83), (121, 86)), ((121, 86), (124, 86)), ((50, 94), (93, 97)), ((93, 97), (114, 104)), ((114, 104), (117, 104)), ((117, 104), (114, 104)), ((50, 94), (89, 107)), ((89, 107), (100, 112)), ((100, 112), (100, 111)), ((100, 111), (100, 107)), ((50, 94), (82, 115)), ((82, 115), (86, 118)), ((86, 118), (86, 115)), ((86, 115), (86, 111))]","(3, 47, 126, 76)"
17,"[((51, 96), (61, 83)), ((61, 83), (72, 69)), ((72, 69), (86, 62)), ((86, 62), (93, 54)), ((51, 96), (96, 83)), ((96, 83), (120, 86)), ((120, 86), (124, 87)), ((124, 87), (124, 87)), ((51, 96), (96, 97)), ((96, 97), (114, 104)), ((114, 104), (117, 107)), ((117, 107), (117, 107)), ((51, 96), (89, 108)), ((89, 108), (103, 115)), ((103, 115), (103, 114)), ((103, 114), (103, 111)), ((51, 96), (85, 118)), ((85, 118), (89, 118)), ((89, 118), (89, 115)), ((89, 115), (86, 112))]","(3, 49, 129, 75)"
18,"[((47, 93), (57, 79)), ((57, 79), (68, 68)), ((68, 68), (85, 61)), ((85, 61), (92, 54)), ((47, 93), (92, 85)), ((92, 85), (109, 86)), ((109, 86), (117, 86)), ((117, 86), (126, 89)), ((47, 93), (88, 96)), ((88, 96), (106, 100)), ((106, 100), (113, 104)), ((113, 104), (120, 107)), ((47, 93), (85, 104)), ((85, 104), (99, 114)), ((99, 114), (102, 114)), ((102, 114), (106, 114)), ((47, 93), (78, 114)), ((78, 114), (88, 117)), ((88, 117), (89, 117)), ((89, 117), (89, 114))]","(3, 48, 126, 73)"
19,"[((60, 88), (75, 75)), ((75, 75), (88, 64)), ((88, 64), (102, 57)), ((102, 57), (109, 50)), ((60, 88), (105, 78)), ((105, 78), (126, 81)), ((126, 81), (137, 82)), ((137, 82), (144, 85)), ((60, 88), (103, 89)), ((103, 89), (123, 96)), ((123, 96), (134, 102)), ((134, 102), (140, 103)), ((60, 88), (99, 99)), ((99, 99), (116, 109)), ((116, 109), (123, 110)), ((123, 110), (126, 110)), ((60, 88), (95, 110)), ((95, 110), (105, 113)), ((105, 113), (106, 113)), ((106, 113), (109, 110))]","(9, 44, 138, 72)"
20,"[((56, 85), (70, 74)), ((70, 74), (84, 61)), ((84, 61), (98, 57)), ((98, 57), (108, 50)), ((56, 85), (101, 78)), ((101, 78), (122, 78)), ((122, 78), (129, 81)), ((129, 81), (139, 82)), ((56, 85), (101, 88)), ((101, 88), (119, 95)), ((119, 95), (128, 99)), ((128, 99), (136, 102)), ((56, 85), (94, 99)), ((94, 99), (111, 106)), ((111, 106), (118, 109)), ((118, 109), (122, 109)), ((56, 85), (91, 109)), ((91, 109), (98, 109)), ((98, 109), (104, 112)), ((104, 112), (108, 112))]","(4, 44, 143, 72)"
21,"[((47, 86), (61, 75)), ((61, 75), (75, 64)), ((75, 64), (92, 61)), ((92, 61), (96, 51)), ((47, 86), (92, 79)), ((92, 79), (113, 82)), ((113, 82), (124, 82)), ((124, 82), (134, 86)), ((47, 86), (89, 89)), ((89, 89), (110, 97)), ((110, 97), (120, 103)), ((120, 103), (131, 107)), ((47, 86), (85, 100)), ((85, 100), (103, 107)), ((103, 107), (110, 110)), ((110, 110), (120, 114)), ((47, 86), (81, 107)), ((81, 107), (89, 114)), ((89, 114), (96, 114)), ((96, 114), (103, 117))]","(3, 47, 144, 72)"
22,"[((47, 83), (61, 75)), ((61, 75), (75, 62)), ((75, 62), (89, 58)), ((89, 58), (99, 51)), ((47, 83), (89, 76)), ((89, 76), (110, 82)), ((110, 82), (120, 83)), ((120, 83), (130, 86)), ((47, 83), (89, 89)), ((89, 89), (106, 97)), ((106, 97), (117, 101)), ((117, 101), (128, 107)), ((47, 83), (82, 97)), ((82, 97), (99, 104)), ((99, 104), (107, 111)), ((107, 111), (117, 114)), ((47, 83), (78, 107)), ((78, 107), (89, 111)), ((89, 111), (96, 115)), ((96, 115), (103, 118))]","(3, 46, 159, 73)"
23,"[((40, 82), (57, 75)), ((57, 75), (71, 61)), ((71, 61), (88, 57)), ((88, 57), (95, 51)), ((40, 82), (85, 75)), ((85, 75), (102, 82)), ((102, 82), (116, 83)), ((116, 83), (123, 85)), ((40, 82), (81, 86)), ((81, 86), (102, 96)), ((102, 96), (113, 103)), ((113, 103), (123, 107)), ((40, 82), (78, 97)), ((78, 97), (92, 103)), ((92, 103), (102, 110)), ((102, 110), (113, 114)), ((40, 82), (74, 107)), ((74, 107), (85, 111)), ((85, 111), (92, 114)), ((92, 114), (99, 117))]","(3, 47, 162, 72)"
24,"[((48, 85), (63, 77)), ((63, 77), (74, 63)), ((74, 63), (92, 63)), ((92, 63), (100, 56)), ((48, 85), (85, 78)), ((85, 78), (107, 84)), ((107, 84), (118, 85)), ((118, 85), (125, 88)), ((48, 85), (85, 89)), ((85, 89), (103, 99)), ((103, 99), (117, 106)), ((117, 106), (128, 110)), ((48, 85), (81, 99)), ((81, 99), (96, 107)), ((96, 107), (107, 114)), ((107, 114), (121, 117)), ((48, 85), (74, 107)), ((74, 107), (88, 114)), ((88, 114), (96, 118)), ((96, 118), (106, 121))]","(3, 50, 175, 73)"
25,"[((47, 83), (62, 73)), ((62, 73), (75, 62)), ((75, 62), (90, 59)), ((90, 59), (97, 52)), ((47, 83), (83, 76)), ((83, 76), (104, 81)), ((104, 81), (115, 84)), ((115, 84), (125, 87)), ((47, 83), (83, 88)), ((83, 88), (101, 98)), ((101, 98), (115, 105)), ((115, 105), (122, 109)), ((47, 83), (79, 98)), ((79, 98), (93, 105)), ((93, 105), (104, 112)), ((104, 112), (118, 116)), ((47, 83), (72, 106)), ((72, 106), (86, 113)), ((86, 113), (94, 116)), ((94, 116), (104, 120))]","(3, 48, 182, 74)"
