label,points,ratio
1,"[((43, 77), (40, 70)), ((40, 70), (40, 57)), ((40, 57), (40, 41)), ((40, 41), (40, 27)), ((43, 77), (63, 60)), ((63, 60), (76, 53)), ((76, 53), (85, 47)), ((85, 47), (89, 47)), ((43, 77), (66, 73)), ((66, 73), (85, 67)), ((85, 67), (95, 66)), ((95, 66), (98, 67)), ((43, 77), (63, 83)), ((63, 83), (78, 84)), ((78, 84), (88, 87)), ((88, 87), (92, 87)), ((43, 77), (59, 93)), ((59, 93), (65, 97)), ((65, 97), (69, 100)), ((69, 100), (76, 103))]","(32, 23, 72, 115)"
2,"[((40, 72), (37, 63)), ((37, 63), (37, 53)), ((37, 53), (37, 37)), ((37, 37), (37, 24)), ((40, 72), (59, 56)), ((59, 56), (72, 50)), ((72, 50), (82, 46)), ((82, 46), (85, 43)), ((40, 72), (62, 69)), ((62, 69), (82, 63)), ((82, 63), (92, 62)), ((92, 62), (89, 59)), ((40, 72), (60, 79)), ((60, 79), (75, 82)), ((75, 82), (85, 82)), ((85, 82), (89, 82)), ((40, 72), (56, 89)), ((56, 89), (62, 95)), ((62, 95), (66, 95)), ((66, 95), (72, 98))]","(27, 20, 71, 113)"
3,"[((64, 63), (46, 49)), ((46, 49), (41, 36)), ((41, 36), (38, 24)), ((38, 24), (36, 11)), ((64, 63), (22, 41)), ((22, 41), (25, 38)), ((25, 38), (30, 38)), ((30, 38), (30, 9)), ((64, 63), (22, 54)), ((22, 54), (30, 52)), ((30, 52), (38, 54)), ((38, 54), (41, 54)), ((64, 63), (25, 65)), ((25, 65), (33, 65)), ((33, 65), (38, 65)), ((38, 65), (43, 67)), ((64, 63), (28, 76)), ((28, 76), (38, 81)), ((38, 81), (43, 78)), ((43, 78), (48, 78))]","(3, 6, 111, 82)"
4,"[((49, 61), (48, 54)), ((48, 54), (51, 35)), ((51, 35), (52, 26)), ((52, 26), (54, 10)), ((49, 61), (45, 42)), ((45, 42), (54, 27)), ((54, 27), (66, 23)), ((66, 23), (67, 26)), ((49, 61), (45, 55)), ((45, 55), (67, 39)), ((67, 39), (67, 39)), ((67, 39), (67, 42)), ((49, 61), (51, 64)), ((51, 64), (70, 58)), ((70, 58), (70, 57)), ((70, 57), (67, 58)), ((49, 61), (58, 73)), ((58, 73), (70, 76)), ((70, 76), (73, 77)), ((73, 77), (74, 80))]","(3, 6, 76, 117)"
5,"[((33, 86), (43, 70)), ((43, 70), (46, 54)), ((46, 54), (53, 41)), ((53, 41), (56, 27)), ((33, 86), (46, 60)), ((46, 60), (66, 41)), ((66, 41), (69, 40)), ((69, 40), (66, 34)), ((33, 86), (46, 70)), ((46, 70), (69, 54)), ((69, 54), (69, 54)), ((69, 54), (69, 57)), ((33, 86), (52, 80)), ((52, 80), (72, 74)), ((72, 74), (72, 76)), ((72, 76), (72, 77)), ((33, 86), (56, 90)), ((56, 90), (66, 93)), ((66, 93), (72, 96)), ((72, 96), (75, 100))]","(3, 22, 77, 111)"
6,"[((41, 92), (47, 78)), ((47, 78), (54, 61)), ((54, 61), (61, 45)), ((61, 45), (64, 32)), ((41, 92), (54, 68)), ((54, 68), (64, 58)), ((64, 58), (74, 51)), ((74, 51), (80, 45)), ((41, 92), (57, 75)), ((57, 75), (74, 65)), ((74, 65), (84, 58)), ((84, 58), (84, 48)), ((41, 92), (61, 85)), ((61, 85), (81, 85)), ((81, 85), (94, 64)), ((94, 64), (94, 51)), ((41, 92), (61, 98)), ((61, 98), (74, 102)), ((74, 102), (80, 105)), ((80, 105), (84, 108))]","(3, 30, 118, 108)"
7,"[((41, 92), (47, 76)), ((47, 76), (54, 62)), ((54, 62), (64, 48)), ((64, 48), (67, 35)), ((41, 92), (57, 65)), ((57, 65), (74, 52)), ((74, 52), (81, 48)), ((81, 48), (81, 42)), ((41, 92), (58, 72)), ((58, 72), (80, 68)), ((80, 68), (88, 58)), ((88, 58), (88, 48)), ((41, 92), (60, 86)), ((60, 86), (74, 88)), ((74, 88), (94, 69)), ((94, 69), (97, 61)), ((41, 92), (61, 99)), ((61, 99), (71, 102)), ((71, 102), (77, 106)), ((77, 106), (84, 109))]","(3, 31, 116, 105)"
8,"[((39, 94), (45, 78)), ((45, 78), (52, 62)), ((52, 62), (65, 50)), ((65, 50), (68, 37)), ((39, 94), (58, 66)), ((58, 66), (74, 56)), ((74, 56), (80, 53)), ((80, 53), (81, 46)), ((39, 94), (59, 75)), ((59, 75), (74, 72)), ((74, 72), (81, 69)), ((81, 69), (84, 69)), ((39, 94), (58, 88)), ((58, 88), (71, 91)), ((71, 91), (80, 91)), ((80, 91), (84, 91)), ((39, 94), (61, 101)), ((61, 101), (71, 104)), ((71, 104), (77, 108)), ((77, 108), (84, 113))]","(3, 34, 135, 98)"
9,"[((39, 95), (46, 81)), ((46, 81), (55, 66)), ((55, 66), (65, 53)), ((65, 53), (71, 40)), ((39, 95), (55, 72)), ((55, 72), (74, 62)), ((74, 62), (80, 59)), ((80, 59), (83, 53)), ((39, 95), (58, 81)), ((58, 81), (83, 75)), ((83, 75), (84, 75)), ((84, 75), (77, 79)), ((39, 95), (59, 91)), ((59, 91), (75, 98)), ((75, 98), (81, 95)), ((81, 95), (84, 95)), ((39, 95), (62, 101)), ((62, 101), (71, 107)), ((71, 107), (77, 111)), ((77, 111), (84, 117))]","(3, 36, 108, 95)"
10,"[((60, 79), (66, 63)), ((66, 63), (73, 50)), ((73, 50), (83, 37)), ((83, 37), (89, 24)), ((60, 79), (76, 56)), ((76, 56), (95, 44)), ((95, 44), (99, 40)), ((99, 40), (102, 37)), ((60, 79), (79, 66)), ((79, 66), (102, 57)), ((102, 57), (102, 57)), ((102, 57), (96, 63)), ((60, 79), (79, 76)), ((79, 76), (95, 82)), ((95, 82), (102, 80)), ((102, 80), (105, 79)), ((60, 79), (82, 86)), ((82, 86), (92, 92)), ((92, 92), (99, 96)), ((99, 96), (103, 99))]","(11, 19, 119, 97)"
