label,points,ratio
1,"[((146, 147), (167, 147)), ((167, 147), (195, 136)), ((195, 136), (212, 119)), ((212, 119), (228, 108)), ((146, 147), (134, 113)), ((134, 113), (124, 80)), ((124, 80), (113, 70)), ((113, 70), (112, 64)), ((146, 147), (117, 125)), ((117, 125), (90, 102)), ((90, 102), (68, 96)), ((68, 96), (84, 74)), ((146, 147), (96, 147)), ((96, 147), (74, 135)), ((74, 135), (63, 125)), ((63, 125), (57, 125)), ((146, 147), (90, 175)), ((90, 175), (57, 158)), ((57, 158), (46, 158)), ((46, 158), (41, 153))]","(34, 47, 206, 170)"
2,"[((126, 190), (161, 172)), ((161, 172), (191, 149)), ((191, 149), (214, 125)), ((214, 125), (226, 108)), ((126, 190), (138, 120)), ((138, 120), (132, 85)), ((132, 85), (132, 67)), ((132, 67), (131, 50)), ((126, 190), (114, 132)), ((114, 132), (96, 97)), ((96, 97), (91, 90)), ((91, 90), (91, 79)), ((126, 190), (96, 149)), ((96, 149), (73, 126)), ((73, 126), (68, 120)), ((68, 120), (67, 120)), ((126, 190), (79, 172)), ((79, 172), (56, 155)), ((56, 155), (49, 161)), ((49, 161), (44, 161))]","(39, 44, 196, 194)"
3,"[((192, 159), (186, 182)), ((186, 182), (181, 200)), ((181, 200), (164, 43)), ((164, 43), (164, 14)), ((192, 159), (129, 176)), ((129, 176), (94, 182)), ((94, 182), (71, 177)), ((71, 177), (54, 171)), ((192, 159), (141, 153)), ((141, 153), (107, 148)), ((107, 148), (60, 130)), ((60, 130), (54, 130)), ((192, 159), (152, 130)), ((152, 130), (118, 118)), ((118, 118), (89, 95)), ((89, 95), (65, 95)), ((192, 159), (170, 113)), ((170, 113), (153, 84)), ((153, 84), (141, 78)), ((141, 78), (129, 78))]","(48, 13, 172, 196)"
4,"[((193, 166), (187, 188)), ((187, 188), (187, 201)), ((187, 201), (170, 49)), ((170, 49), (175, 25)), ((193, 166), (135, 177)), ((135, 177), (100, 183)), ((100, 183), (77, 183)), ((77, 183), (54, 172)), ((193, 166), (146, 154)), ((146, 154), (106, 148)), ((106, 148), (66, 131)), ((66, 131), (54, 130)), ((193, 166), (158, 136)), ((158, 136), (146, 84)), ((146, 84), (124, 67)), ((124, 67), (112, 61)), ((193, 166), (182, 90)), ((182, 90), (152, 84)), ((152, 84), (124, 67)), ((124, 67), (106, 66))]","(47, 18, 176, 196)"
5,"[((188, 165), (188, 183)), ((188, 183), (182, 53)), ((182, 53), (188, 36)), ((188, 36), (198, 25)), ((188, 165), (126, 176)), ((126, 176), (81, 155)), ((81, 155), (59, 148)), ((59, 148), (53, 143)), ((188, 165), (137, 154)), ((137, 154), (98, 132)), ((98, 132), (59, 104)), ((59, 104), (52, 98)), ((188, 165), (148, 132)), ((148, 132), (114, 109)), ((114, 109), (75, 81)), ((75, 81), (64, 76)), ((188, 165), (170, 115)), ((170, 115), (131, 86)), ((131, 86), (103, 64)), ((103, 64), (87, 64))]","(41, 17, 179, 198)"
6,"[((180, 170), (180, 131)), ((180, 131), (186, 97)), ((186, 97), (186, 53)), ((186, 53), (197, 30)), ((180, 170), (114, 175)), ((114, 175), (85, 158)), ((85, 158), (63, 147)), ((63, 147), (46, 136)), ((180, 170), (130, 158)), ((130, 158), (91, 125)), ((91, 125), (64, 108)), ((64, 108), (46, 92)), ((180, 170), (141, 136)), ((141, 136), (102, 108)), ((102, 108), (80, 86)), ((80, 86), (63, 75)), ((180, 170), (153, 114)), ((153, 114), (91, 58)), ((91, 58), (91, 64)), ((91, 64), (108, 75))]","(39, 21, 172, 186)"
7,"[((64, 153), (64, 107)), ((64, 107), (49, 70)), ((49, 70), (54, 34)), ((54, 34), (44, 8)), ((64, 153), (70, 112)), ((70, 112), (116, 81)), ((116, 81), (147, 65)), ((147, 65), (163, 59)), ((64, 153), (86, 143)), ((86, 143), (137, 101)), ((137, 101), (163, 80)), ((163, 80), (179, 65)), ((64, 153), (111, 154)), ((111, 154), (148, 122)), ((148, 122), (174, 101)), ((174, 101), (194, 81)), ((64, 153), (127, 174)), ((127, 174), (163, 158)), ((163, 158), (179, 143)), ((179, 143), (194, 128))]","(3, 3, 202, 191)"
8,"[((60, 155), (60, 107)), ((60, 107), (49, 70)), ((49, 70), (49, 34)), ((49, 34), (39, 8)), ((60, 155), (70, 118)), ((70, 118), (117, 86)), ((117, 86), (139, 71)), ((139, 71), (159, 60)), ((60, 155), (86, 144)), ((86, 144), (133, 102)), ((133, 102), (159, 81)), ((159, 81), (175, 65)), ((60, 155), (107, 160)), ((107, 160), (149, 123)), ((149, 123), (175, 97)), ((175, 97), (195, 86)), ((60, 155), (128, 176)), ((128, 176), (154, 160)), ((154, 160), (174, 145)), ((174, 145), (191, 129))]","(3, 4, 199, 191)"
9,"[((166, 145), (171, 110)), ((171, 110), (181, 78)), ((181, 78), (181, 38)), ((181, 38), (186, 17)), ((166, 145), (109, 161)), ((109, 161), (74, 140)), ((74, 140), (53, 125)), ((53, 125), (38, 110)), ((166, 145), (120, 145)), ((120, 145), (84, 114)), ((84, 114), (43, 79)), ((43, 79), (43, 84)), ((166, 145), (135, 125)), ((135, 125), (58, 63)), ((58, 63), (73, 69)), ((73, 69), (84, 78)), ((166, 145), (89, 58)), ((89, 58), (79, 48)), ((79, 48), (84, 48)), ((84, 48), (99, 58))]","(30, 7, 170, 182)"
10,"[((175, 150), (138, 160)), ((138, 160), (186, 86)), ((186, 86), (190, 44)), ((190, 44), (201, 18)), ((175, 150), (112, 165)), ((112, 165), (80, 139)), ((80, 139), (60, 123)), ((60, 123), (44, 108)), ((175, 150), (128, 150)), ((128, 150), (91, 113)), ((91, 113), (60, 86)), ((60, 86), (50, 81)), ((175, 150), (149, 134)), ((149, 134), (65, 60)), ((65, 60), (81, 71)), ((81, 71), (91, 75)), ((175, 150), (165, 113)), ((165, 113), (81, 54)), ((81, 54), (92, 50)), ((92, 50), (101, 50))]","(39, 9, 172, 184)"
11,"[((65, 153), (65, 115)), ((65, 115), (50, 77)), ((50, 77), (50, 34)), ((50, 34), (39, 13)), ((65, 153), (71, 121)), ((71, 121), (118, 88)), ((118, 88), (139, 72)), ((139, 72), (155, 61)), ((65, 153), (91, 147)), ((91, 147), (134, 104)), ((134, 104), (155, 83)), ((155, 83), (171, 67)), ((65, 153), (108, 164)), ((108, 164), (150, 125)), ((150, 125), (171, 99)), ((171, 99), (187, 82)), ((65, 153), (129, 174)), ((129, 174), (155, 163)), ((155, 163), (176, 147)), ((176, 147), (192, 131))]","(3, 9, 197, 184)"
12,"[((62, 154), (62, 115)), ((62, 115), (51, 78)), ((51, 78), (51, 40)), ((51, 40), (40, 18)), ((62, 154), (72, 121)), ((72, 121), (116, 89)), ((116, 89), (137, 78)), ((137, 78), (154, 62)), ((62, 154), (89, 148)), ((89, 148), (132, 105)), ((132, 105), (154, 88)), ((154, 88), (170, 72)), ((62, 154), (110, 165)), ((110, 165), (148, 127)), ((148, 127), (170, 100)), ((170, 100), (191, 83)), ((62, 154), (127, 176)), ((127, 176), (158, 164)), ((158, 164), (175, 148)), ((175, 148), (191, 132))]","(3, 10, 196, 184)"
13,"[((60, 152), (60, 114)), ((60, 114), (49, 77)), ((49, 77), (49, 40)), ((49, 40), (39, 18)), ((60, 152), (70, 124)), ((70, 124), (113, 92)), ((113, 92), (134, 77)), ((134, 77), (150, 61)), ((60, 152), (86, 151)), ((86, 151), (129, 108)), ((129, 108), (154, 87)), ((154, 87), (166, 71)), ((60, 152), (107, 167)), ((107, 167), (144, 125)), ((144, 125), (170, 98)), ((170, 98), (186, 82)), ((60, 152), (128, 177)), ((128, 177), (154, 162)), ((154, 162), (176, 146)), ((176, 146), (187, 130))]","(3, 10, 195, 184)"
14,"[((68, 155), (62, 112)), ((62, 112), (51, 79)), ((51, 79), (51, 41)), ((51, 41), (40, 19)), ((68, 155), (73, 127)), ((73, 127), (117, 95)), ((117, 95), (139, 79)), ((139, 79), (155, 67)), ((68, 155), (89, 155)), ((89, 155), (133, 111)), ((133, 111), (155, 89)), ((155, 89), (171, 68)), ((68, 155), (111, 166)), ((111, 166), (149, 128)), ((149, 128), (171, 106)), ((171, 106), (192, 84)), ((68, 155), (133, 177)), ((133, 177), (155, 166)), ((155, 166), (177, 150)), ((177, 150), (193, 133))]","(3, 13, 196, 184)"
15,"[((63, 158), (58, 119)), ((58, 119), (52, 85)), ((52, 85), (52, 47)), ((52, 47), (41, 24)), ((63, 158), (69, 130)), ((69, 130), (118, 97)), ((118, 97), (140, 80)), ((140, 80), (156, 69)), ((63, 158), (91, 153)), ((91, 153), (134, 114)), ((134, 114), (157, 91)), ((157, 91), (173, 75)), ((63, 158), (112, 170)), ((112, 170), (151, 130)), ((151, 130), (173, 108)), ((173, 108), (190, 86)), ((63, 158), (129, 181)), ((129, 181), (156, 169)), ((156, 169), (178, 153)), ((178, 153), (190, 136))]","(3, 17, 197, 194)"
16,"[((69, 165), (58, 121)), ((58, 121), (52, 87)), ((52, 87), (53, 53)), ((53, 53), (42, 30)), ((69, 165), (69, 138)), ((69, 138), (119, 104)), ((119, 104), (136, 92)), ((136, 92), (158, 75)), ((69, 165), (91, 165)), ((91, 165), (136, 121)), ((136, 121), (158, 98)), ((158, 98), (175, 81)), ((69, 165), (113, 177)), ((113, 177), (148, 138)), ((148, 138), (170, 115)), ((170, 115), (192, 93)), ((69, 165), (130, 189)), ((130, 189), (158, 177)), ((158, 177), (180, 160)), ((180, 160), (192, 143))]","(3, 23, 196, 191)"
17,"[((202, 198), (190, 154)), ((190, 154), (183, 122)), ((183, 122), (183, 84)), ((183, 84), (171, 59)), ((202, 198), (202, 167)), ((202, 167), (246, 135)), ((246, 135), (270, 122)), ((270, 122), (284, 104)), ((202, 198), (221, 192)), ((221, 192), (264, 148)), ((264, 148), (289, 129)), ((289, 129), (302, 110)), ((202, 198), (240, 205)), ((240, 205), (277, 167)), ((277, 167), (302, 147)), ((302, 147), (320, 123)), ((202, 198), (258, 223)), ((258, 223), (283, 205)), ((283, 205), (302, 192)), ((302, 192), (320, 173))]","(122, 52, 210, 193)"
18,"[((75, 159), (69, 119)), ((69, 119), (59, 81)), ((59, 81), (64, 47)), ((64, 47), (53, 24)), ((75, 159), (75, 131)), ((75, 131), (126, 102)), ((126, 102), (148, 86)), ((148, 86), (165, 70)), ((75, 159), (97, 158)), ((97, 158), (142, 114)), ((142, 114), (165, 92)), ((165, 92), (182, 75)), ((75, 159), (120, 175)), ((120, 175), (159, 136)), ((159, 136), (181, 109)), ((181, 109), (198, 91)), ((75, 159), (137, 186)), ((137, 186), (165, 170)), ((165, 170), (187, 153)), ((187, 153), (198, 142))]","(3, 17, 204, 195)"
19,"[((87, 160), (81, 121)), ((81, 121), (75, 87)), ((75, 87), (75, 52)), ((75, 52), (64, 25)), ((87, 160), (86, 137)), ((86, 137), (137, 104)), ((137, 104), (159, 87)), ((159, 87), (176, 75)), ((87, 160), (109, 160)), ((109, 160), (154, 120)), ((154, 120), (176, 98)), ((176, 98), (193, 81)), ((87, 160), (126, 177)), ((126, 177), (166, 138)), ((166, 138), (188, 115)), ((188, 115), (210, 93)), ((87, 160), (148, 188)), ((148, 188), (176, 176)), ((176, 176), (194, 160)), ((194, 160), (210, 143))]","(13, 20, 206, 194)"
20,"[((67, 148), (72, 110)), ((72, 110), (67, 83)), ((67, 83), (67, 45)), ((67, 45), (57, 24)), ((67, 148), (78, 137)), ((78, 137), (127, 100)), ((127, 100), (149, 88)), ((149, 88), (169, 72)), ((67, 148), (99, 159)), ((99, 159), (143, 116)), ((143, 116), (170, 94)), ((170, 94), (186, 78)), ((67, 148), (121, 175)), ((121, 175), (159, 137)), ((159, 137), (186, 110)), ((186, 110), (203, 94)), ((67, 148), (138, 186)), ((138, 186), (164, 175)), ((164, 175), (186, 163)), ((186, 163), (202, 137))]","(10, 16, 202, 192)"
21,"[((145, 152), (114, 147)), ((114, 147), (170, 85)), ((170, 85), (180, 44)), ((180, 44), (200, 23)), ((145, 152), (99, 163)), ((99, 163), (73, 131)), ((73, 131), (58, 115)), ((58, 115), (48, 95)), ((145, 152), (124, 157)), ((124, 157), (88, 111)), ((88, 111), (64, 90)), ((64, 90), (48, 70)), ((145, 152), (145, 142)), ((145, 142), (99, 96)), ((99, 96), (78, 79)), ((78, 79), (58, 64)), ((145, 152), (155, 116)), ((155, 116), (114, 85)), ((114, 85), (94, 69)), ((94, 69), (74, 54))]","(40, 14, 172, 179)"
22,"[((54, 140), (60, 113)), ((60, 113), (59, 81)), ((59, 81), (60, 44)), ((60, 44), (49, 18)), ((54, 140), (70, 129)), ((70, 129), (117, 98)), ((117, 98), (143, 82)), ((143, 82), (159, 70)), ((54, 140), (91, 155)), ((91, 155), (133, 113)), ((133, 113), (158, 92)), ((158, 92), (179, 76)), ((54, 140), (111, 171)), ((111, 171), (148, 134)), ((148, 134), (174, 108)), ((174, 108), (195, 92)), ((54, 140), (128, 182)), ((128, 182), (154, 171)), ((154, 171), (174, 156)), ((174, 156), (190, 134))]","(4, 13, 200, 190)"
23,"[((49, 143), (60, 112)), ((60, 112), (55, 80)), ((55, 80), (59, 44)), ((59, 44), (49, 18)), ((49, 143), (69, 133)), ((69, 133), (112, 101)), ((112, 101), (138, 86)), ((138, 86), (158, 70)), ((49, 143), (86, 159)), ((86, 159), (132, 112)), ((132, 112), (158, 91)), ((158, 91), (174, 76)), ((49, 143), (107, 170)), ((107, 170), (148, 133)), ((148, 133), (169, 107)), ((169, 107), (195, 91)), ((49, 143), (127, 181)), ((127, 181), (153, 170)), ((153, 170), (174, 154)), ((174, 154), (190, 138))]","(3, 13, 198, 191)"
