label,points,ratio
1,"[((72, 97), (62, 97)), ((62, 97), (50, 87)), ((50, 87), (40, 76)), ((40, 76), (33, 69)), ((72, 97), (89, 97)), ((89, 97), (97, 91)), ((97, 91), (107, 87)), ((107, 87), (114, 80)), ((72, 97), (86, 87)), ((86, 87), (100, 79)), ((100, 79), (107, 73)), ((107, 73), (115, 66)), ((72, 97), (79, 80)), ((79, 80), (90, 65)), ((90, 65), (97, 58)), ((97, 58), (104, 51)), ((72, 97), (72, 73)), ((72, 73), (76, 59)), ((76, 59), (79, 51)), ((79, 51), (83, 41))]","(30, 40, 89, 98)"
2,"[((74, 98), (64, 97)), ((64, 97), (50, 87)), ((50, 87), (43, 76)), ((43, 76), (33, 69)), ((74, 98), (89, 98)), ((89, 98), (99, 91)), ((99, 91), (106, 87)), ((106, 87), (113, 80)), ((74, 98), (85, 87)), ((85, 87), (99, 79)), ((99, 79), (107, 73)), ((107, 73), (117, 66)), ((74, 98), (79, 80)), ((79, 80), (92, 65)), ((92, 65), (96, 58)), ((96, 58), (106, 51)), ((74, 98), (74, 73)), ((74, 73), (78, 59)), ((78, 59), (82, 51)), ((82, 51), (85, 41))]","(32, 40, 90, 98)"
3,"[((88, 106), (98, 96)), ((98, 96), (108, 85)), ((108, 85), (114, 75)), ((114, 75), (122, 64)), ((88, 106), (90, 75)), ((90, 75), (84, 61)), ((84, 61), (77, 53)), ((77, 53), (73, 43)), ((88, 106), (77, 78)), ((77, 78), (67, 64)), ((67, 64), (60, 57)), ((60, 57), (53, 47)), ((88, 106), (70, 86)), ((70, 86), (57, 74)), ((57, 74), (49, 65)), ((49, 65), (42, 58)), ((88, 106), (63, 95)), ((63, 95), (53, 89)), ((53, 89), (42, 82)), ((42, 82), (36, 78))]","(35, 41, 92, 93)"
4,"[((87, 106), (98, 96)), ((98, 96), (108, 85)), ((108, 85), (114, 75)), ((114, 75), (122, 65)), ((87, 106), (88, 75)), ((88, 75), (84, 61)), ((84, 61), (77, 53)), ((77, 53), (73, 43)), ((87, 106), (77, 79)), ((77, 79), (67, 64)), ((67, 64), (60, 54)), ((60, 54), (56, 47)), ((87, 106), (70, 86)), ((70, 86), (59, 75)), ((59, 75), (49, 67)), ((49, 67), (43, 58)), ((87, 106), (63, 96)), ((63, 96), (52, 89)), ((52, 89), (43, 85)), ((43, 85), (36, 78))]","(35, 41, 92, 93)"
5,"[((72, 98), (62, 98)), ((62, 98), (51, 88)), ((51, 88), (44, 77)), ((44, 77), (33, 69)), ((72, 98), (90, 98)), ((90, 98), (101, 91)), ((101, 91), (108, 88)), ((108, 88), (115, 84)), ((72, 98), (84, 91)), ((84, 91), (101, 80)), ((101, 80), (108, 73)), ((108, 73), (116, 69)), ((72, 98), (80, 80)), ((80, 80), (91, 66)), ((91, 66), (97, 59)), ((97, 59), (105, 51)), ((72, 98), (72, 74)), ((72, 74), (79, 62)), ((79, 62), (83, 52)), ((83, 52), (86, 44))]","(31, 41, 91, 99)"
6,"[((89, 106), (99, 96)), ((99, 96), (109, 85)), ((109, 85), (113, 75)), ((113, 75), (121, 64)), ((89, 106), (89, 74)), ((89, 74), (82, 61)), ((82, 61), (78, 53)), ((78, 53), (72, 43)), ((89, 106), (78, 78)), ((78, 78), (68, 64)), ((68, 64), (61, 57)), ((61, 57), (54, 47)), ((89, 106), (68, 85)), ((68, 85), (57, 75)), ((57, 75), (47, 67)), ((47, 67), (40, 58)), ((89, 106), (64, 95)), ((64, 95), (50, 89)), ((50, 89), (40, 82)), ((40, 82), (36, 78))]","(34, 40, 91, 93)"
7,"[((73, 100), (66, 103)), ((66, 103), (52, 93)), ((52, 93), (45, 82)), ((45, 82), (34, 74)), ((73, 100), (91, 103)), ((91, 103), (99, 96)), ((99, 96), (106, 93)), ((106, 93), (116, 86)), ((73, 100), (88, 93)), ((88, 93), (102, 82)), ((102, 82), (109, 78)), ((109, 78), (117, 71)), ((73, 100), (81, 85)), ((81, 85), (92, 71)), ((92, 71), (99, 63)), ((99, 63), (106, 56)), ((73, 100), (74, 78)), ((74, 78), (80, 64)), ((80, 64), (84, 56)), ((84, 56), (88, 46))]","(33, 45, 90, 98)"
8,"[((80, 107), (66, 100)), ((66, 100), (55, 93)), ((55, 93), (45, 82)), ((45, 82), (34, 71)), ((80, 107), (91, 100)), ((91, 100), (99, 96)), ((99, 96), (106, 92)), ((106, 92), (116, 85)), ((80, 107), (85, 93)), ((85, 93), (102, 82)), ((102, 82), (109, 78)), ((109, 78), (117, 71)), ((80, 107), (81, 85)), ((81, 85), (92, 70)), ((92, 70), (99, 63)), ((99, 63), (106, 53)), ((80, 107), (73, 78)), ((73, 78), (77, 63)), ((77, 63), (81, 56)), ((81, 56), (87, 45))]","(32, 44, 89, 98)"
9,"[((74, 100), (66, 100)), ((66, 100), (52, 92)), ((52, 92), (45, 81)), ((45, 81), (34, 71)), ((74, 100), (92, 100)), ((92, 100), (99, 95)), ((99, 95), (107, 92)), ((107, 92), (117, 85)), ((74, 100), (85, 92)), ((85, 92), (103, 81)), ((103, 81), (110, 77)), ((110, 77), (118, 70)), ((74, 100), (81, 84)), ((81, 84), (92, 70)), ((92, 70), (99, 63)), ((99, 63), (107, 52)), ((74, 100), (74, 77)), ((74, 77), (78, 63)), ((78, 63), (81, 55)), ((81, 55), (88, 45))]","(32, 43, 89, 98)"
10,"[((90, 105), (97, 98)), ((97, 98), (108, 87)), ((108, 87), (115, 76)), ((115, 76), (122, 66)), ((90, 105), (90, 76)), ((90, 76), (83, 62)), ((83, 62), (79, 52)), ((79, 52), (73, 44)), ((90, 105), (79, 80)), ((79, 80), (69, 65)), ((69, 65), (61, 55)), ((61, 55), (54, 48)), ((90, 105), (72, 87)), ((72, 87), (58, 76)), ((58, 76), (51, 69)), ((51, 69), (43, 61)), ((90, 105), (65, 94)), ((65, 94), (51, 90)), ((51, 90), (41, 84)), ((41, 84), (37, 80))]","(34, 41, 92, 93)"
